STOP_ID,STOP_NAME,latitude,longitude,TICKETZONE,ROUTEUSSP,geometry,
19851,Willison Railway Station (Camberwell),-37.835716,145.070298,1,Alamein,c(2506188.43219802, 2407257.6339795)
19852,Riversdale Railway Station (Camberwell),-37.831505,145.069646,1,Alamein,c(2506131.38606867, 2407725.03836997)
19853,Camberwell Railway Station (Camberwell),-37.826567,145.058697,1,"Belgrave,Lilydale,Alamein",c(2505167.89226565, 2408273.74997773)
19854,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",c(2497091.88726464, 2409191.81949388)
19855,Frankston Railway Station (Frankston),-38.14299,145.126162,2,"Stony Point,Frankston",c(2511060.60545983, 2373146.38398769)
19856,Kananook Railway Station (Seaford),-38.121742,145.135295,2,Frankston,c(2511864.59419372, 2375503.8910525)
19857,Seaford Railway Station (Seaford),-38.104021,145.12823,2,Frankston,c(2511247.71115654, 2377471.82478824)
19858,Carrum Railway Station (Carrum),-38.076504,145.122833,2,Frankston,c(2510778.29685924, 2380526.86697939)
19859,Bonbeach Railway Station (Bonbeach),-38.062945,145.11968,2,Frankston,c(2510503.51381592, 2382032.27490017)
19860,Chelsea Railway Station (Chelsea),-38.051955,145.116041,2,Frankston,c(2510185.65645417, 2383252.55349419)
19861,Edithvale Railway Station (Edithvale),-38.038056,145.108536,2,Frankston,c(2509528.69506004, 2384796.09973105)
19862,Aspendale Railway Station (Aspendale),-38.02722,145.10215,2,Frankston,c(2508969.36791301, 2385999.49614579)
19863,Mordialloc Railway Station (Mordialloc),-38.006583,145.087659,2,Frankston,c(2507699.15077331, 2388291.41654088)
19864,Parkdale Railway Station (Parkdale),-37.993079,145.076327,2,Frankston,c(2506705.11561805, 2389791.17522875)
19865,Mentone Railway Station (Mentone),-37.981865,145.065166,2,Frankston,c(2505725.5729077, 2391036.61075877)
19866,Cheltenham Railway Station (Cheltenham),-37.96665,145.054558,2,Frankston,c(2504794.61120991, 2392725.9819806)
19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.892672,145.30753,2,Belgrave,c(2527050.07994949, 2400894.69444969)
19868,Ferntree Gully Railway Station (Ferntree Gully),-37.881698,145.295251,2,Belgrave,c(2525973.81062407, 2402116.11714942)
19869,Boronia Railway Station (Boronia),-37.860452,145.284385,2,Belgrave,c(2525024.98389489, 2404477.11280884)
19870,Bayswater Railway Station (Bayswater),-37.84173,145.268136,2,Belgrave,c(2523601.01301525, 2406559.18788728)
